Account,classification,Total PnL,Average PnL,Number of Trades
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,620872.38,98.82,6283
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,4.67,1.56,3
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,57368.78,28.53,2011
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,37712.52,220.54,171
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,6053.16,106.2,57
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,236797.73,338.28,700
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,30258.2,302.58,100
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,-90302.55,-606.06,149
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,30774.09,10.69,2878
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,478811.47,105.93,4520
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,55978.8,8.7,6437
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,243399.51,55.02,4424
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,27116.68,6.32,4292
